ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
2,Auckland,ASB Classic,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Auger-Aliassime F.,Duckworth J.,22,96,1656,576,6,3,7,6,,,,,,,2,0,Completed,"1,57","2,25","1,6","2,5","1,63","2,52","1,57","2,37"
2,Auckland,ASB Classic,16/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Harris L.,Carreno Busta P.,91,30,594,1377,6,3,6,3,,,,,,,2,0,Completed,"2,62","1,5","2,83","1,5","2,83","1,54","2,65","1,48"
2,Auckland,ASB Classic,16/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,Evans D.,18,33,1799,1324,6,4,3,6,6,3,,,,,2,1,Completed,"1,44","2,75","1,49","2,87","1,53","2,87","1,47","2,67"
2,Auckland,ASB Classic,16/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Paul T.,Ramos-Vinolas A.,90,42,600,1130,6,3,6,4,,,,,,,2,0,Completed,"1,57","2,37","1,56","2,65","1,62","3,03","1,54","2,47"
2,Auckland,ASB Classic,16/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Auger-Aliassime F.,Bolt A.,22,157,1656,332,6,3,6,0,,,,,,,2,0,Completed,"1,44","2,75","1,47","2,97","1,54","2,97","1,46","2,7"
2,Auckland,ASB Classic,17/01/2020,ATP250,Outdoor,Hard,Semifinals,3,Harris L.,Paul T.,91,90,594,600,6,4,6,7,6,3,,,,,2,1,Completed,"2,2","1,66","2,15","1,81","2,27","1,81","2,12","1,71"
2,Auckland,ASB Classic,17/01/2020,ATP250,Outdoor,Hard,Semifinals,3,Rublev A.,Auger-Aliassime F.,18,22,1799,1656,7,6,6,7,6,4,,,,,2,1,Completed,"1,44","2,75","1,46",3,"1,51",3,"1,47","2,67"
2,Auckland,ASB Classic,18/01/2020,ATP250,Outdoor,Hard,The Final,3,Rublev A.,Harris L.,18,91,1799,594,6,3,6,0,,,,,,,2,0,Completed,"1,33","3,4","1,32","3,8","1,36","3,94","1,3","3,45"
3,Adelaide,Adelaide International,13/01/2020,ATP250,Outdoor,Hard,1st Round,3,Hurkacz H.,Sonego L.,34,52,1318,990,7,5,6,3,,,,,,,2,0,Completed,"1,33","3,25","1,31","3,74","1,37","3,74","1,32","3,35"
3,Adelaide,Adelaide International,13/01/2020,ATP250,Outdoor,Hard,1st Round,3,Sandgren T.,Venus M.,101,N/A,553,N/A,6,4,6,3,,,,,,,2,0,Completed,"1,2","4,33","1,21","4,99","1,27","4,99","1,2","4,5"
3,Adelaide,Adelaide International,13/01/2020,ATP250,Outdoor,Hard,1st Round,3,Monteiro T.,Norrie C.,86,62,616,885,7,6,6,2,,,,,,,2,0,Completed,2,"1,72","2,35","1,65","2,35","1,75","2,21","1,66"
3,Adelaide,Adelaide International,13/01/2020,ATP250,Outdoor,Hard,1st Round,3,Humbert U.,Ruud C.,57,46,900,1079,7,6,2,6,6,3,,,,,2,1,Completed,"1,83","1,83","2,03","1,86","2,1","1,92","1,96","1,83"
3,Adelaide,Adelaide International,13/01/2020,ATP250,Outdoor,Hard,1st Round,3,Paire B.,Sinner J.,24,79,1598,671,6,4,2,6,6,4,,,,,2,1,Completed,"2,1","1,66","2,27","1,7","2,27","1,87","2,1","1,73"
3,Adelaide,Adelaide International,13/01/2020,ATP250,Outdoor,Hard,1st Round,3,Ymer M.,Tiafoe F.,77,49,685,1050,6,4,5,7,6,1,,,,,2,1,Completed,2,"1,72","2,07","1,83","2,2","1,85","2,01","1,78"
3,Adelaide,Adelaide International,14/01/2020,ATP250,Outdoor,Hard,1st Round,3,Pospisil V.,Sousa J.,146,58,360,891,6,4,6,2,,,,,,,2,0,Completed,"1,4","2,75","1,45","2,93","1,45",3,"1,41","2,88"
3,Adelaide,Adelaide International,14/01/2020,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,Davidovich Fokina A.,69,85,800,627,6,2,4,6,6,3,,,,,2,1,Completed,"1,5","2,5","1,45","2,93","1,54","2,93","1,46","2,68"
3,Adelaide,Adelaide International,14/01/2020,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Mmoh M.,47,227,1071,207,7,6,6,4,,,,,,,2,0,Completed,"1,61","2,2","1,64","2,36","1,76","2,38","1,65","2,24"
3,Adelaide,Adelaide International,15/01/2020,ATP250,Outdoor,Hard,1st Round,3,Seppi A.,Mannarino A.,84,43,636,1111,3,6,6,4,6,4,,,,,2,1,Completed,"2,37","1,53","2,45","1,61","2,5","1,7","2,37","1,58"
3,Adelaide,Adelaide International,15/01/2020,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Andujar P.,61,63,888,867,3,6,7,6,6,4,,,,,2,1,Completed,"1,53","2,37","1,52","2,7","1,67","2,75","1,53","2,48"
3,Adelaide,Adelaide International,15/01/2020,ATP250,Outdoor,Hard,1st Round,3,Cecchinato M.,Mayer L.,76,100,690,558,7,6,6,7,7,6,,,,,2,1,Completed,"2,37","1,53","2,46","1,6","2,5","1,59","2,42","1,56"
3,Adelaide,Adelaide International,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Isner J.,Sandgren T.,20,101,1770,553,7,6,6,7,6,3,,,,,2,1,Completed,"1,57","2,25","1,53","2,71","1,73","2,71","1,55","2,42"
3,Adelaide,Adelaide International,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Hurkacz H.,Ymer M.,34,77,1318,685,6,2,7,6,,,,,,,2,0,Completed,"1,5","2,5","1,49","2,84","1,51","3,03","1,46","2,68"
